"search_timestamp","org_list__auth_type","org_list__address","org_list__domain_ip_cnt","org_list__np_time_list__np_time","org_list__corp_regno","org_list__org_type","org_list__relay_org_code","org_list__industry","org_list__np_time_cnt","org_list__ip_list__ip","org_list__cert_oid","org_list__cert_issuer_dn","org_list__serial_num","org_list__ip_cnt","org_list__domain_ip_list__domain_ip","org_list__domain","org_list__op_type","org_list__is_rcv_org","org_list__org_name","org_list__org_regno","org_list__org_code","rsp_code","org_cnt","rsp_msg"
"","01","(06110) 서울특별시 강남구 강남대로 542 (논현동, 영풍빌딩) 영풍빌딩 2층 유안타저축은행","","0100:0400","1101110579304","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","유안타저축은행(주)","214-81-40181","A3AALY0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06179) 서울특별시 강남구 테헤란로 512 (대치동, 신안빌딩) 1,2층","","0100:0400","1101110135148","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","바로저축은행","214-81-85311","A3AALZ0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(05719) 서울특별시 송파구 송파대로 260 (가락동, 제일오피스텔) 2층(가락동,제일오피스텔)","","0030:2330","1101114764745","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","KB저축은행","215-87-62778","A3AAMC0000","","",""
"","01","(06223) 서울특별시 강남구 논현로 422 (역삼동, 키움예스저축은행)","","0100:0400","1101110113475","02","ZWAAEA0000","bank","2","","","","","0","","","I","true","키움예스저축은행","220-81-14989","A3AAME0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06151) 서울특별시 강남구 테헤란로 323 (역삼동, 휘닉스오피스텔) 서울시 강남구 테헤란로 323","","0100:0400","1101110136675","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","더케이저축은행","220-81-26108","A3AAMF0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(24273) 강원도 춘천시 금강로 40 (낙원동) CK저축은행","","2000:2300","1401110001111","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","CK저축은행","221-81-01148","A3AAMI0000","","",""
"","","","","0100:0400","","","","","","","","","","","","","","","","","","","",""
"","01","(28530) 충청북도 청주시 상당구 남사로 135 (남문로2가, 아주저축은행)","","0100:0400","1501110000682","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","우리금융저축은행","301-81-00601","A3AAMK0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
